Objective Question,Answer,Subjective Question #1,Label 1,Subjective Question #2,Label 2,Subjective Question #3,Label 3
sun produces heat and light by,nuclear reactions,Howsun produces heat and?,0,,0,,0
characteristics of father are inherited by the individual through a/an,sperm,What is a father's sperm?,0,What type of sperm is inherited by a father?,0,What type of sperm is a father?,0
natural vegetation can be defined as vegetation grown with,nature intervention,What can be defined as vegetation grown with?,0,What type of intervention can be used to define natural vegetation?,1,What type of intervention can be used to define vegetation?,0
a man-made satellite orbits,all of the above,What does a man-made satellite orbit?,0,What does a man-made satellite do?,0,What does the man-made satellite do?,0
the factor  on which  time and frequency of irrigation rarely depends is type of,fertiliser,What is the most important factor on which time and frequency of irrigation rarely depends?,0,What is the most important factor on which time and frequency of irrigation rarely depend?,0,What type of product is used for irrigation?,0
the burrowing animals,inhale the air present in the spaces in soil,What do burrowing animals do?,0,What do burrowing animals do with the air in the soil?,0,What do burrowing animals do with the air in soil?,0
the property which is common between curd and tamarind is that they,have a sour taste,Do curd and tamarind have a sour taste?,0,What is a common characteristic of curd and tamarind?,1,What characteristic does curd and tamarind share?,1
"the Munda “sirdars” or the leaders of the community, appealed the people to",to revolt,What did the Munda “sirdars” want the people to do?,1,What did the Munda “sirdars” ask the people to do?,,What did the Munda “sirdars” call the people to do?,0
the capillary tube of a clinical thermometer has kink,so that the level of mercury does not fall as soon as the thermometer is taken out of the mouth,Why is the capillary tube of a clinical thermometer kink?,0,Why does the capillary tube of a clinical thermometer kink?,0,Why does the capillary tube of a thermometer have kinks?,1
the colour of an object is determined by the colour of light,reflected by it,What determines the color of an object?,1,What determines the color of light?,,How is light reflected on an object?,0
universal Adult Suffrage is an important,device of democracy,What is the object of universal Adult Suffrage?,0,What is the purpose of universal Adult Suffrage?,0,What is universal Adult Suffrage?,0
a kite flying in the sky undergoes,random motion,What kind of motion does a kite undergo?,1,What type of motion does a kite undergo?,,What kind of motion does a kite undergo when flying?,
the inscription found in Kandahar is related to,ashoka,What is the name of the inscription found in Kandahar?,0,What is the inscription found in Kandahar related to?,1,What type of inscription is found in Kandahar?,0
"take an uninflated balloon and blow air into it to inflate it completely. The balloon increases in size. This shows that,",air occupies space,What happens when you blow air into a balloon?,1,How does air fill space in a balloon?,0,How does air occupie space in a balloon?,0
india appears to be a 'Unitary State' during an,emergency,India appears to be a 'Unitary State' during what type of situation?,1,India appears to be a 'Unitary State' during what type of emergency?,0,India appears to be a 'Unitary State' during what kind of situation?,
water is a / an,neutral oxide,What type of oxide is water?,1,What kind of oxide is water?,,What is a neutral oxide?,0
rosetta is a town on the north coast of,egypt,What country is rosetta located in?,1,In what country is rosetta located?,1,What country is rosetta in?,
the filament which glows inside the bulb is made up of tungsten because it,has high melting point,Does tungsten have a high melting point?,0,Does tungsten have a very high melting point?,0,Does tungsten have a low melting point?,0
earthworms come out from the burrows during,rainy season,When do earthworms come out of burrows?,1,When do earthworms come out of their burrows?,,What season do earthworms come out of burrows?,1
cleanliness is necessary to prevent,bacterial infection,What type of infection is cleanliness necessary to prevent?,0,What type of infection does cleanliness help prevent?,0,What type of infection does cleanliness prevent?,1
pond is an example of,aquatic habitat,What type of habitat is a pond?,1,What kind of habitat is a pond?,,What is a pond an example of?,0
temple towns represented an early pattern of,urbanisation,Temple towns were an early pattern of what?,1,What did temple towns represent an early pattern of?,1,Temple towns were a pattern of what?,
"at the poles, the Earth is slightly",flattened,What shape is the Earth's poles?,0,What is the shape of the Earth's poles?,0,What shape is the Earth at the poles?,1
example/s of natural indicator is/are         i. Phenolphthalein         ii. Gudhal         iii. Methyl orange,(ii) only,What is the only natural indicator?,0,How many examples of natural indicators are there?,0,How many examples of natural indicator are there?,0
the distance between the Earth and the Sun is approximately,1.6 x 10⁻⁵ light year,What is the distance between the Earth and the Sun?,1,What is the distance between the Earth and the sun?,,What is the distance between Earth and Sun?,
the struggle against the British became a mass movement after,1919,What year did the struggle against the British become a mass movement?,1,When did the struggle against the British become a mass movement?,,The struggle against the British became a mass movement in what year?,1
more amount of solute can be added to a saturated solution by,heating the solution,Howmore amount of solute can be added to a saturated?,1,,0,,0
abolition of Untouchability falls under the category of,fundamental Rights,What kind of Rights does abolition of Untouchability fall under?,1,What type of Rights does abolition of Untouchability fall under?,,Untouchability falls under what category?,0
"to prepare a dilute solution of a strong acid, we should",add acid to water slowly with constant stirring,How do you prepare a dilute solution of acid?,0,How do you prepare a dilute solution of acid with water?,,How do you prepare a dilute solution of acid in water?,
increase of exhausts from petrol refineries will make the raindrops,less alkaline,Will the exhausts from refineries make the raindrops more or less alkaline?,0,Will the exhausts from refineries make the raindrops less or less alkaline?,0,Are raindrops more or less alkaline?,0
"cereals such as wheat, rice, and maize provide us",carbohydrates for energy requirement,What do grains provide us with?,1,What do we need carbohydrates for?,0,What do grains provide us?,0
a windmill used to draw water from tube wells and to run flour mills is rotated by the action of,wind,What type of windmill is used to run flour mills?,0,What kind of windmill is used to run flour mills?,0,What type of windmill rotates?,0
