Objective Question,Answer,Subjective Question #1,Label 1,Subjective Question #2,Label 2,Subjective Question #3,Label 3
the Preamble of the Indian Constitution states,"""We, the People of India""",Who does the Preamble of the Indian Constitution state ?,0,What states ``We''?,0,Does the Preamble of the Indian Constitution state ``We''?,0
archaeologists discovered houses built by the people in Burzahom were generally made of,in the ground in Pits,Who discovered houses built by the people in Burzahom were generally made of in the ground in Pits?,0,What did archaeologists discover were generally made of in the ground in Pits?,0,What did archaeologists discover houses built by the people in Burzahom were generally made of in?,0
stone tools were also used for stitching clothes made of,animal skin,What were also used for stitching clothes made of animal skin?,0,What were stone tools also used for?,0,Were stone tools also used for stitching clothes made of animal skin?,0
red Data book keeps the record of,all the plants and animals,What does red Data book keep the record of?,1,What keeps the record of all the plants and animals?,0,What does red Data book keep?,1
the prairies are also called the 'Granaries of the World' due to huge surplus,of wheat production,What are also called the ` Granaries of the World ' due to huge surplus of wheat production?,0,What are the prairies also called the ` Granaries of?,0,What are the prairies also called?,1
aryans lived in tribal groups headed by a,rajan,Who lived in tribal groups headed by a rajan?,1,What did aryans live in?,0,Did aryans live in tribal groups headed by a rajan?,0
the Guerilla warfare was started by the Marathas in the Deccan during the reign of,aurangzeb,When was the Guerilla warfare started by the Marathas in the Deccan?,0,Where was the Guerilla warfare started by the Marathas during the reign of aurangzeb?,0,What was started by the Marathas in the Deccan during the reign of aurangzeb?,1
1 meter is equal to,1 000 mm,What is equal to 1 000 mm?,0,What is 1 meter equal to?,0,Is 1 meter equal to 1 000 mm?,0
the Palaeolithic Period ranged between,"2 million years to 12,000 years ago","How many years did the Palaeolithic Period range to 12,000 years ago?",1,"When did the Palaeolithic Period range to 12,000 years ago?",0,"When ranged between 2 million years to 12,000 years ago?",0
"during lightning, streaks of bright light and sound are produced due to the combination of",negative and positive charges,What are produced due to the combination of negative and positive charges during lightning?,1,What are streaks of bright light and sound produced due to during lightning?,0,What are streaks of bright light and sound produced due to the combination of negative and positive charges during?,0
humans  develop,two sets of teeth during their lifetime,Who develop two sets of teeth during their lifetime?,0,How many sets of teeth do humans develop during their lifetime?,1,What do humans develop two sets of during their lifetime?,0
an electric cell has,a metal cap as a positive and a metal disc as a negative terminal,What has a metal cap as a positive and a metal disc as a negative terminal?,0,What does an electric cell have as a positive and a metal disc as a negative terminal?,0,What does an electric cell have a metal cap as as a negative terminal?,0
sun produces heat and light by,nuclear reactions,What produces heat and light by nuclear reactions?,0,What does sun produce heat and light by?,0,What does sun produce by nuclear reactions?,1
characteristics of father are inherited by the individual through a/an,sperm,What are inherited by the individual through a\/an sperm?,0,Who are characteristics of father inherited by through a\/an sperm?,0,What are characteristics of father inherited by the individual through?,0
natural vegetation can be defined as vegetation grown with,nature intervention,What can be defined as vegetation grown with nature intervention?,1,What can natural vegetation be defined as?,1,Can natural vegetation be defined as vegetation grown with nature intervention?,0
a man-made satellite orbits,all of the above,What does a man-made satellite orbit all of?,1,What orbits all of the above?,0,What does a man-made satellite orbit?,1
the factor  on which  time and frequency of irrigation rarely depends is type of,fertiliser,What is the factor on which time and frequency of irrigation rarely depends?,0,What is the factor on which time and frequency of irrigation rarely depends type of?,0,What is type of fertiliser?,0
the burrowing animals,inhale the air present in the spaces in soil,What inhale the air present in the spaces in soil?,0,What do the burrowing animals inhale present in the spaces in soil?,0,What do the burrowing animals inhale the air present in?,0
the property which is common between curd and tamarind is that they,have a sour taste,What is the property which is common between curd and tamarind that they have?,1,What is that they have a sour taste?,0,What is the property which is common between curd and tamarind?,1
"the Munda “sirdars” or the leaders of the community, appealed the people to",to revolt,Who appealed the people to to revolt?,0,What did the Munda ``sirdars'' or the leaders of the community appeal to to revolt?,0,What did the Munda ``sirdars'' or the leaders of the community appeal the people to to?,1
the capillary tube of a clinical thermometer has kink,so that the level of mercury does not fall as soon as the thermometer is taken out of the mouth,What has kink so that the level of mercury does not fall as soon as the thermometer is taken out of the mouth?,1,What has the capillary tube of a clinical thermometer kink so of?,0,Has the capillary tube of a clinical thermometer kink so that the level of mercury does not fall as soon as the thermometer is taken out of the mouth?,0
the colour of an object is determined by the colour of light,reflected by it,What is determined by the color of light reflected by it?,0,What is the color of an object determined by?,1,Is the color of an object determined by the color of light reflected by it?,0
universal Adult Suffrage is an important,device of democracy,What is universal Adult Suffrage an important device of?,0,Who is an important device of democracy?,0,What is universal Adult Suffrage?,0
a kite flying in the sky undergoes,random motion,What does a kite flying in the sky undergo?,0,What undergoes random motion?,0,Does a kite flying in the sky undergo random motion?,0
the inscription found in Kandahar is related to,ashoka,Who is the inscription found in Kandahar related to?,1,What is related to ashoka?,0,Is the inscription found in Kandahar related to ashoka?,0
"take an uninflated balloon and blow air into it to inflate it completely. The balloon increases in size. This shows that,",air occupies space,"What shows that, air occupies space?",0,What increases in size?,0,What does the balloon increase in?,0
india appears to be a 'Unitary State' during an,emergency,What appears to be a ` Unitary State ' during an emergency?,0,What does india appear to be a ` Unitary State ' during?,0,What does india appear to be ' during an emergency?,1
water is a / an,neutral oxide,What is a \/ an neutral oxide?,0,What is water?,0,Is water a \/ an neutral oxide?,0
rosetta is a town on the north coast of,egypt,Who is a town on the north coast of egypt?,0,What is rosetta?,0,Is rosetta a town on the north coast of egypt?,0
the filament which glows inside the bulb is made up of tungsten because it,has high melting point,What is the filament which glows inside the bulb made up of because it has high melting point?,0,What is made up of tungsten because it has high melting point?,0,What has high melting point?,0
earthworms come out from the burrows during,rainy season,What come out from the burrows during rainy season?,0,When do earthworms come out from the burrows?,1,What do earthworms come out from during rainy season?,0
cleanliness is necessary to prevent,bacterial infection,What is necessary to prevent bacterial infection?,1,Is cleanliness necessary to prevent bacterial infection?,0,,0
pond is an example of,aquatic habitat,What is an example of aquatic habitat?,1,What is pond an example of?,1,What is pond?,0
temple towns represented an early pattern of,urbanisation,What represented an early pattern of urbanisation?,0,What did temple towns represent an early pattern of?,1,What did temple towns represent?,0
"at the poles, the Earth is slightly",flattened,What is the Earth slightly flattened at?,0,What is slightly flattened at the poles?,0,Is the Earth slightly flattened at the poles?,0
example/s of natural indicator is/are         i. Phenolphthalein         ii. Gudhal         iii. Methyl orange,(ii) only,,0,,0,,0
the distance between the Earth and the Sun is approximately,1.6 x 10⁻⁵ light year,What is approximately 1. 6 x 10 light year?,0,Is the distance between the Earth and the Sun approximately 1. 6 x 10 light year?,0,,0
the struggle against the British became a mass movement after,1919,When did the struggle against the British become a mass movement?,1,What did the struggle against the British become after 1919?,0,What became a mass movement after 1919?,0
more amount of solute can be added to a saturated solution by,heating the solution,What can be added to a saturated solution by heating the solution?,0,What can more amount of solute be added to by heating the solution?,0,Can more amount of solute be added to a saturated solution by heating the solution?,0
abolition of Untouchability falls under the category of,fundamental Rights,What falls under the category of fundamental Rights?,1,What does abolition of Untouchability fall under?,1,Does abolition of Untouchability fall under the category of fundamental Rights?,0
"to prepare a dilute solution of a strong acid, we should",add acid to water slowly with constant stirring,Who should add acid to water slowly with constant stirring?,0,What should we add to water slowly with constant stirring?,0,Should we add acid to water slowly with constant stirring?,0
increase of exhausts from petrol refineries will make the raindrops,less alkaline,What will increase of exhausts from petrol refineries make less alkaline?,0,What will make the raindrops less alkaline?,1,Will increase of exhausts from petrol refineries make the raindrops less alkaline?,0
"cereals such as wheat, rice, and maize provide us",carbohydrates for energy requirement,What provide us carbohydrates for energy requirement?,0,"What do cereals such as wheat, rice, and maize provide us carbohydrates for?",1,"Who do cereals such as wheat, rice, and maize provide carbohydrates for energy requirement?",0
a windmill used to draw water from tube wells and to run flour mills is rotated by the action of,wind,What is a windmill used to draw water from tube wells rotated by?,0,What is a windmill used to run flour mills rotated by?,0,What is rotated by the action of wind?,0
