,Objective Question,Original Answer,Sub Ques 1 ,Label 1,Sub Ques 2,Label 2,Sub Ques 3,Label 3,,,,,,,,,,,,,,,,,,,
213,"a psychosis arising from an advanced stage of syphilis, in which the disease attacks brain cells, is called",general paresis,What is called general paresis?,1,"What is a psychosis arising from an advanced stage of syphilis, in which the disease attacks brain cells called?",1,"Is a psychosis arising from an advanced stage of syphilis, in which the disease attacks brain cells called general paresis?",0,,,,,,,,,,,,,,,,,,,
214,"in addition to providing water for Indian agriculture, the Ganges River remains important to India because it is",a sacred river for the Hindu population,Where does the Ganges River remain important because it is a sacred river for the Hindu population in addition to providing water for Indian agriculture?,0,What does the Ganges River remain important to because it is a sacred river for the Hindu population in addition to providing water for Indian agriculture?,0,What remains important to India because it is a sacred river for the Hindu population in addition to providing water for Indian agriculture?,1,,,,,,,,,,,,,,,,,,,
215,A social reform of the Meiji Restoration was to?,make everyone equal before the law,Was a social reform of the Meiji Restoration to?,0,What was to?,0,,,,,,,,,,,,,,,,,,,,,
216,one result of the Neolithic Revolution was,the establishment of villages and the rise of governments,What was the establishment of villages and the rise of governments?,0,What was one result of the Neolithic Revolution?,1,Was one result of the Neolithic Revolution the establishment of villages and the rise of governments?,0,,,,,,,,,,,,,,,,,,,
217,at the optimum,the slope of the indifference curve is equal to the slope of the budget constraint,What is equal to the slope of the budget constraint at the optimum the slope of the indifference?,0,What is curve equal to at the optimum the slope of the indifference?,0,What is curve equal to the slope of the budget constraint at?,0,,,,,,,,,,,,,,,,,,,
218,The Chinese believed a ruler kept the Mandate of Heaven by?,governing wisely,What did the Chinese believe kept the Mandate of Heaven by?,0,What believed a ruler kept the Mandate of Heaven by?,0,What did the Chinese believe a ruler kept the Mandate of by?,1,,,,,,,,,,,,,,,,,,,
219,"if the price of televisions falls, the value of the marginal product of workers making televisions will",definitely fall,"If the price of televisions falls, what will definitely fall?",1,"If the price of televisions falls, will the value of the marginal product of workers making televisions definitely fall?",0,,,,,,,,,,,,,,,,,,,,,
220,"Unlike the Delhi sultans, Akbar believed in?",religiouis freedom,Who believed in unlike the Delhi sultans?,0,Who did Akbar believe in unlike?,0,Did Akbar believe in unlike the Delhi sultans?,0,,,,,,,,,,,,,,,,,,,
221,economists are skeptical that discrimination is employer driven because,All of the above are reasons,Who are skeptical that discrimination is employer driven because All of the above are reasons?,0,What are all of the above?,0,What are reasons?,0,,,,,,,,,,,,,,,,,,,
222,extensive study of dreams indicates that,most dreams are extensions of everyday experience,When does extensive study of dreams indicate that most dreams are?,0,What indicates that most dreams are extensions of everyday experience?,1,What does extensive study of dreams indicate that most dreams are extensions of?,1,,,,,,,,,,,,,,,,,,,
223,the Virginia and New Jersey Plans introduced at the Constitutional Convention differedmainly over whether,states should send equal numbers of representatives to Congress,What Plans introduced at the Constitutional Convention differedmainly over whether states should send equal numbers of representatives to Congress?,0,What does the Virginia and New Jersey plan introduced at differedmainly over whether states should send equal numbers of representatives to Congress?,0,Does the Virginia and New Jersey plan introduced at the Constitutional Convention differedmainly over whether states should send equal numbers of representatives to Congress?,0,,,,,,,,,,,,,,,,,,,
224,"In a free market system, what is the mechanism for rationing scarce resources?",prices,What is the mechanism for rationing scarce resources in a free market system?,1,What is what the mechanism for rationing scarce resources in?,0,What is what in a free market system?,0,,,,,,,,,,,,,,,,,,,
225,excessive daytime sleepiness is a condition called,hypersomnia,What is a condition called hypersomnia?,1,What is excessive daytime sleepiness?,1,Is excessive daytime sleepiness a condition called hypersomnia?,0,,,,,,,,,,,,,,,,,,,
226,"according to the   three-headed political giant   model of political parties, the largestcomponent of an American party is the",party-in-the-electorate,What is the largestcomponent of an American party?,0,What is the party-in-the-electorate?,0,Is the largestcomponent of an American party the party-in-the-electorate?,0,,,,,,,,,,,,,,,,,,,
227,Confucius believed that a good society was one that?,preserved peace and order,Who believed that a good society was one that?,0,What did confucius believe that a good society was?,1,What did confucius believe?,0,,,,,,,,,,,,,,,,,,,
228,the major problem with using hypnosis in police work is,the occurrence of false memories,What is the major problem with using hypnosis in police work?,1,What is the major problem with using hypnosis in police work the occurrence of?,0,What is the occurrence of false memories?,0,,,,,,,,,,,,,,,,,,,
229,The Unites States originally pursued a   decapitation   strategy for confronting al -Qaida. Whatdid this strategy propose to do?,eliminate a small number of al-Qaida leaders,What originally pursued a decapitation strategy for confronting al- Qaida?,0,What did the Unites States originally pursue for confronting al- Qaida?,1,Did the Unites States originally pursue a decapitation strategy for confronting al- Qaida?,0,,,,,,,,,,,,,,,,,,,
230,"the life-cycle theory would suggest that because people can borrow and save to smooth out changes in income, their standard of living depends more on",lifetime income rather than annual income,What can save to smooth out changes in income?,0,What can people save to smooth out?,0,What would the life-cycle theory suggest on?,0,,,,,,,,,,,,,,,,,,,
231,"in our federal system, the powers of the state governments are ultimately granted by",the United States Constitution,What are the powers of the state governments ultimately granted by the United States Constitution in?,0,What are ultimately granted by the United States Constitution in our federal system?,1,What are the powers of the state governments ultimately granted by in our federal system?,0,,,,,,,,,,,,,,,,,,,
232,an exit poll is taken,"on election day, by interviewing voters as they leave the polling place",What is taken on election day?,0,When is an exit poll taken?,1,Who leave the polling place?,0,,,,,,,,,,,,,,,,,,,
233,"When a country becomes an exporter of a good,",the gains of the winners exceed the losses of the losers,Who do the gains of the winners exceed the losses of?,0,What do the gains of the winners exceed?,0,What exceed the losses of the losers?,0,,,,,,,,,,,,,,,,,,,
234,Which factor has contributed most to the social and cultural identity of the Middle East?,strong influence of Islam on the region,,,,,,,,,,,,,,,,,,,,,,,,,
235,self-actualization refers to,anyone who is making full use of his or her potentials,What refers to anyone who is making full use of his or her potentials?,1,What does self-actualization refer to?,1,Does self-actualization refer to anyone who is making full use of his or her potentials?,0,,,,,,,,,,,,,,,,,,,
236,"during the 1980 s, Mikhail Gorbachev introduced Perestroika in the Soviet Union to",improve the economy and decentralize decision making,Where did Mikhail Gorbachev introduce Perestroika to improve the economy and decentralize decision making during the 1980 s?,1,Who introduced Perestroika in the Soviet Union to improve the economy and decentralize decision making during the 1980 s?,1,What did Mikhail Gorbachev introduce Perestroika in to improve the economy and decentralize decision making during the 1980 s?,0,,,,,,,,,,,,,,,,,,,
237,critical elections   always result in the,formation of new coalitions for each political party,What always result in the formation of new coalitions for each political party?,1,What do critical elections always result in?,1,Do critical elections always result in the formation of new coalitions for each political party?,0,,,,,,,,,,,,,,,,,,,
238,In what type of buying situation would a seller most likely send only a catalog to the buyer during the proposal solicitation stage of the business buying process?,straight rebuy,When type of buying situation would a seller most likely send only a catalog to the buyer in what?,0,Who type of buying situation would to in what?,0,What would a seller most likely send only a catalog to the buyer during the proposal solicitation stage of the business buying process in what?,0,,,,,,,,,,,,,,,,,,,
239,"a beekeeper places his hives of bees in an orchard so that the bees can gather nectar to produce honey. As a result, the bees pollinate the orchard which increases the yield of fruit and also causes",positive externalities that benefit both the beekeeper and the orchard owner,Who places his hives of bees in an orchard so that the bees can gather nectar to produce honey?,0,What pollinate the orchard which increases the yield of fruit and also causes positive externalities that benefit both the beekeeper and the orchard owner as a result?,1,What does a beekeeper place his hives of bees in so that the bees can gather nectar to produce honey?,0,,,,,,,,,,,,,,,,,,,
240,the independent variable in an experiment is,the variable that the experimenter chooses to manipulate,What is the independent variable in an experiment that the experimenter chooses to manipulate?,0,What is the variable that the experimenter chooses to manipulate?,1,What is the independent variable in an experiment the variable?,0,,,,,,,,,,,,,,,,,,,
241,the number of families living in poverty in the U.S. tends to be overstated by about,10 percent,What tends to be overstated by about 10 percent?,1,What does the number of families living in poverty in the U. S. tend to be overstated by?,0,Does the number of families living in poverty in the U. S. tend to be overstated by about 10 percent?,0,,,,,,,,,,,,,,,,,,,
242,councils of Governments have been formed to,improve cooperation between local governments,What have been formed to improve cooperation between local governments?,1,Have councils of Governments been formed to improve cooperation between local governments?,0,,,,,,,,,,,,,,,,,,,,,
243,as we move from lower to higher animals a larger proportion of the brain is devoted to,the cerebrum,,0,,0,,0,,,,,,,,,,,,,,,,,,,
244,"It has impoverished the dumb millions by a system of progressive exploitation....It has reduced us politically to serfdom. It has sapped the foundation of our culture...and degraded us spiritually. --- Mohandas K. Gandhi, 1930. In the statement, the it referred to by Gandhi is?",British imperialism in India,When referred to by Gandhi is in the statement?,0,What did 1930 refer to by Gandhi is in?,0,Who did 1930 refer to by is in the statement?,0,,,,,,,,,,,,,,,,,,,
245,"Unlike China during the Age of European Imperialism, Japan?",modernized rapidly,,0,,0,,0,,,,,,,,,,,,,,,,,,,
246,the fact that many people don't know which way Lincoln is facing on the penny is probably due to,encoding failure,Is the fact that many people do not know which way Lincoln is facing on the penny probably due to encoding failure?,0,What is probably due to encoding failure?,1,,,,,,,,,,,,,,,,,,,,,
247,"During the Renaissance, which development contributed most to the Protestant Reformation?",questioning of traditional authority,What contributed most to the Protestant Reformation during the Renaissance?,1,When did development contribute most to the Protestant Reformation?,0,What did development contribute most to during the Renaissance?,1,,,,,,,,,,,,,,,,,,,
248,"in terms of critical thinking and testing, results should",be meta-analytical,What should be meta-analytical in terms of critical thinking and testing?,1,What should results be meta-analytical in?,1,Should results be meta-analytical in terms of critical thinking and testing?,0,,,,,,,,,,,,,,,,,,,
249,"You are walking into a store when a man rudely cuts in front of you, almost shoving you, so that he may enter the store first. ""What a jerk!"" you think to yourself. As you enter the store, you see the same man performing an emergency tracheotomy on a women with a collapsed windpipe. You have just",made the fundamental attribution error,Who sees the same man performing an emergency tracheotomy on a women with a collapsed windpipe?,0,"Who is walking into a store when a man rudely cuts in front of you, almost shoving you?",0,"What you are walking into when a man rudely cuts in front of you, almost shoving you?",0,,,,,,,,,,,,,,,,,,,
250,Which statement BEST describes the effects of the geography of Africa?,it has hindered economic development on the continent,What has hindered economic development on the continent?,1,What has the geography of Africa hindered?,1,Has the geography of Africa hindered economic development on the continent?,0,,,,,,,,,,,,,,,,,,,
251,a legal minimum price at which a good can be sold is a price,floor,What is a legal minimum price at which a good can be sold?,1,What is a price floor?,1,Is a legal minimum price at which a good can be sold a price floor?,0,,,,,,,,,,,,,,,,,,,
252,the most common explanation for Social Security payments accounting for a larger share of federal government expenditures is,increases in life expectancy,What is the most common explanation for Social Security payments accounting for a larger share of federal government expenditures?,1,What is increases in life expectancy?,0,Is the most common explanation for Social Security payments accounting for a larger share of federal government expenditures increases in life expectancy?,0,,,,,,,,,,,,,,,,,,,
253,"for a consumer, any point on the same indifference curve yields",the same level of satisfaction,What yields the same level of satisfaction for a consumer?,1,What does any point on the same indifference curve yield for a consumer?,1,Who does any point on the same indifference curve yield the same level of satisfaction for?,1,,,,,,,,,,,,,,,,,,,
254,if the stock market booms household spending,"increases. To offset the effects of this on the price level and real GDP, the Fed would decrease the money supply",What would the Fed decrease?,0,If the stock market booms what increases?,1,Who would decrease the money supply?,1,,,,,,,,,,,,,,,,,,,
255,eidetic imagery is found more often in,children than in adults,Who is eidetic imagery found more often in than in adults?,1,What is found more often in children than in adults?,1,Is eidetic imagery found more often in children than in adults?,0,,,,,,,,,,,,,,,,,,,
256,Which statement about the Fertile Crescent is accurate?,"rich soil and abundant water, especially in the Tigris-Euphrates Valley made it a center of early civilization",What made it a center of early civilization?,0,Did rich soil and abundant water make it a center of early civilization?,0,,,,,,,,,,,,,,,,,,,,,
257,"in China, the Great Leap Forward and the Cultural Revolution promoted by Mao Zedong were similar in that both plans",disrupted industrial development,Who were similar in that both plans disrupted industrial development in China?,0,Where were the Great Leap Forward and the Cultural Revolution promoted by Mao Zedong similar in that both plans disrupted industrial development?,0,What were the Great Leap Forward and the Cultural Revolution promoted by Mao Zedong similar in that both plans disrupted industrial development in?,0,,,,,,,,,,,,,,,,,,,
258,"according to public opinion polls, presidents seem to be most popular",when they first enter office,Who seem to be most popular when they first enter office?,1,Do presidents seem to be most popular when they first enter office?,0,,,,,,,,,,,,,,,,,,,,,
259,one of the limitations of the case study is that,there are no control groups,What is that there are no control groups?,0,What is one of the limitations of the case study that there are?,0,What is one of the limitations of the case study?,1,,,,,,,,,,,,,,,,,,,
260,the Fourteenth Amendment was one of three passed,directly following the Civil War,What was one of three passed directly following the Civil War?,1,What was the Fourteenth Amendment?,1,What was the Fourteenth Amendment one of?,0,,,,,,,,,,,,,,,,,,,
261,"When people vote according to the nature of the times,",they are more interested in results than ideology and judge presidents by results,What are more interested in results than ideology and judge presidents by results?,0,What are people more interested in results than ideology and judge presidents by?,0,What are people more interested in results than by results?,0,,,,,,,,,,,,,,,,,,,
262,"in his classic studies of conformity, Asch demonstrated that",lack of unanimity greatly reduces the pressure to conform,What did Asch demonstrate that lack of unanimity greatly reduces the pressure to conform in?,0,Who demonstrated that lack of unanimity greatly reduces the pressure to conform in his classic studies of conformity?,1,What did Asch demonstrate that lack of unanimity greatly reduces in his classic studies of conformity?,0,,,,,,,,,,,,,,,,,,,
263,income taxes,provide the largest source of federal revenue,What provide the largest source of federal revenue?,1,What do income taxes provide the largest source of?,0,What do income taxes provide?,1,,,,,,,,,,,,,,,,,,,
264,an employer is forbidden to fire or discriminate against a worker who advocates thepossibility of unionizing under a provision of the,Wagner Act,Who is forbidden to fire or discriminate against a worker who advocates thepossibility of unionizing under a provision of the Wagner Act?,1,Who is an employer forbidden to fire or discriminate against?,1,Is an employer forbidden to fire or discriminate against a worker who advocates thepossibility of unionizing under a provision of the Wagner Act?,0,,,,,,,,,,,,,,,,,,,
265,a perfectly price-discriminating monopolist is able to,maximize profit and produce a level of output more consistent with optimal social well-being,Who is able to produce a level of output more consistent with optimal social well-being?,0,Who is able to maximize profit more consistent with optimal social well-being?,1,Is a perfectly price-discriminating monopolist able to maximize profit more consistent with optimal social well-being?,0,,,,,,,,,,,,,,,,,,,
266,creating the magic of consciousness is carried out primarily by,the forebrain,,0,,0,,0,,,,,,,,,,,,,,,,,,,
267,a major development in relations between the Soviet Union and the United States occurred in the late 1980 s when the two nations agreed to,eliminate a group of nuclear missiles,What occurred in the late 1980 s when the two nations agreed to eliminate a group of nuclear missiles?,1,What did a major development in relations between the Soviet Union and the United States occur in when the two nations agreed to eliminate a group of nuclear missiles?,0,,,,,,,,,,,,,,,,,,,,,
268,recession refers principally to,negative real GDP growth,What refers principally to negative real GDP growth?,1,What does recession refer principally to?,1,Does recession refer principally to negative real GDP growth?,0,,,,,,,,,,,,,,,,,,,
269,The new religion of Christianity appealed particularly to?,people with low status in the Roman Empire,What appealed particularly to?,0,Did the new religion of Christianity appeal particularly to?,0,,,,,,,,,,,,,,,,,,,,,
270,a nerve impulse is also called a(n),action potential,What is also called a action potential?,1,What is a nerve impulse also called?,1,Is a nerve impulse also called a action potential?,0,,,,,,,,,,,,,,,,,,,
271,In which stage of the business buying process is a supplier's task to make sure that the supplier is giving the buyer the expected satisfaction?,performance review,Whose task to make sure that the supplier is giving the buyer the expected satisfaction is buying process in which stage of the business?,0,What is a supplier's task to make sure that the supplier is giving the buyer the expected satisfaction in which stage of the business?,0,When is buying process a supplier's task to make sure that the supplier is giving the buyer the expected satisfaction?,0,,,,,,,,,,,,,,,,,,,
272,Hispanics comprise approximately what percent of the American population?,13 percent,Who comprise approximately what percent of the American population?,0,Do Hispanics comprise approximately what percent of the American population?,0,,,,,,,,,,,,,,,,,,,,,
273,microeconomics is the study of,"how households and firms make decisions, and how they interact in markets",What is the study of how households and firms make decisions?,1,What is the study of how households and firms interact in markets?,1,What is the study of how they interact in markets?,0,,,,,,,,,,,,,,,,,,,
274,"as a percentage of the total work force, federal government employment is",declining,What is declining as a percentage of the total work force?,1,What is federal government employment declining as?,0,Is federal government employment declining as a percentage of the total work force?,0,,,,,,,,,,,,,,,,,,,
275,"in Latin America, the deforestation of the Amazon rain forest has led to",environmental dangers,Where has the deforestation of the Amazon rain forest led to environmental dangers?,1,What has led to environmental dangers in Latin America?,1,What has the deforestation of the Amazon rain forest led to in Latin America?,1,,,,,,,,,,,,,,,,,,,
276,"either a constant growth rate of the money supply monetary rule, or a rule requiring the Fed to respond to changes in real GDP would reduce or eliminate",both the time inconsistency of monetary policy and the monetary portion of the political business cycle,,0,,0,,0,,,,,,,,,,,,,,,,,,,
277,"america's principal foreign policy strategy toward the Soviet Union throughout the Cold War,proposed by the foreign policy strategist George Kennan in 1947, was",containment,What was proposed by the foreign policy strategist George Kennan in 1947?,1,Who was the Cold War proposed by in 1947?,0,What was america's principal foreign policy strategy toward the Soviet Union throughout the Cold War?,1,,,,,,,,,,,,,,,,,,,
278,"samuelson and Solow reasoned that when aggregate demand was high, unemployment was","low, so there was upward pressure on wages and prices","What did samuelson and Solow reason that when aggregate demand was high, was low, so there was upward pressure on wages and prices?",0,"Who reasoned that when aggregate demand was high, unemployment was low, so there was upward pressure on wages and prices?",1,"What did samuelson and Solow reason that when aggregate demand was high, unemployment was low, so there was?",0,,,,,,,,,,,,,,,,,,,
279,economic mobility refers to the,movement of people among income classes,What does economic mobility refer to among income classes?,1,What refers to the movement of people among income classes?,1,What does economic mobility refer to the movement of people among?,0,,,,,,,,,,,,,,,,,,,
280,the presidential cabinet,"consists of the head of each executive department, plus any additional government officials the president designates","What consists of the head of each executive department, plus any additional government officials the president designates?",1,Who does the presidential cabinet consist of?,1,"Does the presidential cabinet consist of the head of each executive department, plus any additional government officials the president designates?",0,,,,,,,,,,,,,,,,,,,
281,"if the conditioned stimulus is presented many times without reinforcement, we can expect",extinction to occur,"If the conditioned stimulus is presented many times without reinforcement, who can expect extinction to occur?",0,"If the conditioned stimulus is presented many times without reinforcement, what can we expect to occur?",1,"If the conditioned stimulus is presented many times without reinforcement, can we expect extinction to occur?",0,,,,,,,,,,,,,,,,,,,
282,the study of culture primarily involves,learning why various peoples live as they do,What involves learning why various peoples live as they do?,1,What do?,0,Does the study of culture primarily involve learning why various peoples live as they do?,0,,,,,,,,,,,,,,,,,,,
283,The Crusades have been called  history s most successful failures.     Which statement best explains this expression?,"The Crusades did not achieve their original goals, but they brought about many desirable changes in Europe",When have the Crusades been called s most successful failures?,0,Who have been called history s most successful failures?,0,What have the Crusades been called history s?,1,,,,,,,,,,,,,,,,,,,
284,"the Suez Canal, the Panama Canal, and the Straits of the Dardanelles are similar because they",are strategic waterways that have been the center of conflicts,What are strategic waterways that have been the center of conflicts?,1,What are similar because they are strategic waterways that have been the center of conflicts?,0,What are the Suez Canal?,0,,,,,,,,,,,,,,,,,,,
285,during the 1980 s the governments of Libya and Iran were similar in that both were linked to,incidents of international terrorism,,0,,0,,0,,,,,,,,,,,,,,,,,,,
286,the   party-in-government   refers to,winning candidates who become the main spokespersons for the party that nominated them,What refers to winning candidates who become the main spokespersons for the party that nominated them?,1,Does the party-in-government refer to winning candidates who become the main spokespersons for the party that nominated them?,0,,,,,,,,,,,,,,,,,,,,,
287,the risk-benefit ratio in treating schizophrenia refers to,the benefits of medication in alleviating psychotic symptoms versus the adverse effects,What does the risk-benefit ratio in treating schizophrenia refer to?,1,What refers to the benefits of medication in alleviating psychotic symptoms versus the adverse effects?,1,Does the risk-benefit ratio in treating schizophrenia refer to the benefits of medication in alleviating psychotic symptoms versus the adverse effects?,0,,,,,,,,,,,,,,,,,,,
288,most decisions handed down by the Supreme Court are cases involving,appeals from lower federal courts,What are cases involving appeals from lower federal courts?,1,What are most decisions handed down by the Supreme Court?,1,Are most decisions handed down by the Supreme Court cases involving appeals from lower federal courts?,0,,,,,,,,,,,,,,,,,,,
289,the amount of a good an individual has,affects the rate at which she is willing to trade,When has the amount of a good an individual affects at which she is willing to trade?,0,What has affects the rate at which she is willing to trade?,1,Has the amount of a good an individual affects the rate at which she is willing to trade?,0,,,,,,,,,,,,,,,,,,,
290,"mutism, self-destructive behavior, and echolalia are symptoms of",childhood autism,What are symptoms of childhood autism?,1,"What are mutism, self-destructive behavior, and echolalia symptoms of?",1,"What are mutism, self-destructive behavior, and echolalia?",0,,,,,,,,,,,,,,,,,,,
291,feudal societies are generally characterized by,an emphasis on social order,What are generally characterized by an emphasis on social order?,1,What are feudal societies generally characterized by?,1,Are feudal societies generally characterized by an emphasis on social order?,0,,,,,,,,,,,,,,,,,,,
292,Which is a characteristic of a feudal society?,rigid class structure,What is a characteristic of a feudal society?,0,What is which a characteristic of?,0,What is which?,0,,,,,,,,,,,,,,,,,,,
293,economists compute the price elasticity of demand as,percentage change in the quantity demanded divided by the percentage change in price,Who demanded divided by the percentage change in price?,1,What did economists compute the price elasticity of demand as percentage change in the quantity demand divided by?,0,Did economists compute the price elasticity of demand as percentage change in the quantity demand divided by the percentage change in price?,0,,,,,,,,,,,,,,,,,,,
294,a set of rules for structuring sentences is called,grammar,What is a set of rules for structuring sentences called?,1,What is called grammar?,1,Is a set of rules for structuring sentences called grammar?,0,,,,,,,,,,,,,,,,,,,
295,A constitution? What for? The Koran is the oldest and most efficient constitution in the world.   --King Faisal of Saudi Arabia (1966),the laws of Islam can be used to govern a country,What is the oldest and most efficient constitution in the world?,1,What is the Koran?,1,Is the Koran the oldest and most efficient constitution in the world?,0,,,,,,,,,,,,,,,,,,,
296,"one similarity in the leadership of Kemal Ataturk, Gamal Nasser, and Shah Reza Pahlavi is that all these leaders",sought to modernize their nations,"What is one similarity in the leadership of Kemal Ataturk, Gamal Nasser, and Shah Reza Pahlavi?",0,"What is one similarity in the leadership of Kemal Ataturk, Gamal Nasser, and Shah Reza Pahlavi that all these leaders sought to modernize?",1,What is that all these leaders sought to modernize their nations?,0,,,,,,,,,,,,,,,,,,,
297,a main idea of Karl Marx and Friedrich Engles  Communist Manifesto is that the proletariat,must unite to overthrow the capitalist class,What is a main idea of Karl Marx and Friedrich Engles Communist Manifesto that the proletariat must unite to overthrow?,0,What is that the proletariat must unite to overthrow the capitalist class?,0,What is a main idea of Karl Marx and Friedrich Engles Communist Manifesto?,1,,,,,,,,,,,,,,,,,,,
298,Which sensory receptor is found in greatest numbers in the skin?,pain receptors,,0,,0,,0,,,,,,,,,,,,,,,,,,,
299,The Zionist movement primarily desired to?,create a Jewish homeland in Palestine,What primarily desired to?,0,Did the Zionist movement primarily desire to?,0,,,,,,,,,,,,,,,,,,,,,
300,muscles can contract because they are made up of,effector cells,What can contract because they are made up of effector cells?,1,What are made up of effector cells?,1,What are muscles made up of?,1,,,,,,,,,,,,,,,,,,,
301,girls who mature early are more likely,to engage in earlier sexual relations,Who are more likely to engage in earlier sexual relations?,1,Are girls who mature early more likely to engage in earlier sexual relations?,0,,,,,,,,,,,,,,,,,,,,,
302,a binding price ceiling will make it necessary to,"develop a way of rationing the product, because there will be a shortage",What will make it necessary to develop a way of rationing the product?,1,Will a binding price ceiling make it necessary to develop a way of rationing the product?,0,What will a binding price ceiling make necessary to develop a way of rationing the product?,0,,,,,,,,,,,,,,,,,,,
303,carl Rogers is responsible for,client-centered therapy,Who is responsible for client-centered therapy?,1,What is Carl Rogers responsible for?,1,Is Carl Rogers responsible for client-centered therapy?,0,,,,,,,,,,,,,,,,,,,
304,A person is asked to decide on a major in school; another is asked to decide on a career. We may say that the different answers they give to broad and specific questions are because of,differences in framing,Who is asked to decide on a major in school?,0,What is asked to decide on a career?,0,Is a person asked to decide on a major in school?,0,,,,,,,,,,,,,,,,,,,
305,"according the teachings of Confucius, the key to the successful organization of society is that",individuals should know and do what is expected of them,What is that individuals should know and do what is expected of the teachings of Confucius according the teachings of Confucius?,0,What is the key to the successful organization of society that individuals should know and do what is expected of the teachings of Confucius?,0,What is the key to the successful organization of society of according the teachings of Confucius?,1,,,,,,,,,,,,,,,,,,,
306,"in hunger, a set point is",related to the proportion of body fat your body normally maintains,,0,,0,,0,,,,,,,,,,,,,,,,,,,
307,"during the 18th and 19th centuries, Europeans improved roads and bridges and built railroads in their colonies primarily to",obtain raw materials needed for industrialization,Who built railroads in their colonies primarily to obtain raw materials needed for industrialization?,1,What do Europeans build in their colonies primarily to obtain raw materials needed for industrialization?,0,What do Europeans build railroads in their colonies primarily to obtain?,0,,,,,,,,,,,,,,,,,,,
308,"for Freud, the time during which psychosexual development is interrupted is called the",latency period,When is the time during which psychosexual development is interrupted called for Freud?,0,Who is the time during which psychosexual development is interrupted called the latency period for?,0,When is called the latency period for Freud?,1,,,,,,,,,,,,,,,,,,,
309,psychologist Wolfgang Köhler believed that the solution of a multiple-stick problem in chimpanzees revealed,a capacity for insight,What did psychologist Wolfgang Kohler believe that the solution of a multiple-stick problem in chimpanzees revealed?,1,Who believed that the solution of a multiple-stick problem in chimpanzees revealed a capacity for insight?,0,What did psychologist Wolfgang Kohler believe?,1,,,,,,,,,,,,,,,,,,,
310,"during the 1980 s, the Soviet Union experimented with modifications of its command economy by",introducing some market economy strategies,What did the Soviet Union experiment with modifications of its command economy by introducing some market economy strategies during?,0,What experimented with modifications of its command economy by introducing some market economy strategies during the 1980 s?,0,What did the Soviet Union experiment with by introducing some market economy strategies during the 1980 s?,1,,,,,,,,,,,,,,,,,,,
311,"The proletarians have nothing to lose but their chains Workers of the world, unite!",Industrial Revolution,Who have nothing to lose but their chains Workers of the world!,1,What do the proletarians have!,0,Do the proletarians have nothing to lose but their chains Workers of the world!,0,,,,,,,,,,,,,,,,,,,
312,the surge in President George Bush's approval ratings during and immediately following theGulf War in 1991 was an example of,a rally event,What was an example of a rally event?,1,What was the surge in President George Bush's approval ratings during and immediately following theGulf War in 1991?,0,What was the surge in President George Bush's approval ratings during and immediately following theGulf War in 1991 an example of?,1,,,,,,,,,,,,,,,,,,,
313,litigants are,the plaintiff and the defendant,Who are the plaintiff and the defendant?,1,Who are litigants?,1,Are litigants the plaintiff and the defendant?,0,,,,,,,,,,,,,,,,,,,
314,"in Dred Scott v. Sandford (1857), Chief Justice Taney declared that",Congress had no authority to ban slavery in the territories,Who declared that Congress had no authority to ban slavery in the territories in Dred Scott v. Sandford?,1,Who did Chief Justice Taney declare that Congress had no authority to ban slavery in the territories in?,0,What did Chief Justice Taney declare that Congress had in Dred Scott v. Sandford?,0,,,,,,,,,,,,,,,,,,,
315,keynes believed that economies experiencing high unemployment should adopt policies to,increase aggregate demand,Who believed that economies experiencing high unemployment should adopt policies to increase aggregate demand?,1,What did keynes believe that economies experiencing high unemployment should adopt to increase aggregate demand?,0,What did keynes believe that economies experiencing high unemployment should adopt policies to increase?,0,,,,,,,,,,,,,,,,,,,
316,the Constitution framers,generally wanted a president with limited authority and responsibilities,Who did the Constitution framers generally want with limited authority and responsibilities?,0,Who generally wanted a president with limited authority and responsibilities?,1,What did the Constitution framers generally want a president with?,0,,,,,,,,,,,,,,,,,,,
317,"""Flashbulb"" memories, which are vivid, lasting images of events associated with personal tragedy, may be produced in part by",increased secretion of the hormone ACTH,"What are vivid, lasting images of events associated with personal tragedy?",0,"What are ``Flashbulb'' memories vivid, lasting images of?",1,What may ``Flashbulb'' memories be produced in part by?,0,,,,,,,,,,,,,,,,,,,
318,the amount of carbon dioxide in the atmosphere has increased in recent years.  Environmentalists suggest this change is a direct result of the,overcutting of forests and the increased use of fossil fuels,When has the amount of carbon dioxide in the atmosphere increased?,0,What do Environmentalists suggest is a direct result of the overcutting of forests and the increased use of fossil fuels?,1,What do Environmentalists suggest?,0,,,,,,,,,,,,,,,,,,,
319,classifying things as absolutely right or wrong typifies,good-bad or all or nothing thinking,,0,,0,,0,,,,,,,,,,,,,,,,,,,
320,Why do Hindus believe it is important to follow the path of non-violence?,all people and things are aspects of Brahman and should be respected,What are aspects of Brahman?,0,Who are all people and things aspects of?,0,What are all people and things?,0,,,,,,,,,,,,,,,,,,,
321,"Which type of store is much larger than regular supermarkets and offers a large assortment of routinely purchased food products, nonfood items, and services?",superstore,,0,,0,,0,,,,,,,,,,,,,,,,,,,
322,increasing the minimum wage would increase,"structural unemployment, but not frictional unemployment",,,,,,,,,,,,,,,,,,,,,,,,,
323,Footbinding was primarily practiced on?,"elite, upper class women",Who was primarily practiced on?,0,Was footbinding primarily practiced on?,0,,,,,,,,,,,,,,,,,,,,,
