,Original Ques,Original Answer,PreProcessed Question,PreProcessed Answer,Subjective Question - 1,Subjective Question - 2,Subjective Question - 3,Marker,Label1,Label2,Label3
355,fifth Amendment rights were expanded to include guidelines for police interrogationprocedures in the famous case of,Miranda v. Arizona,fifth Amendment rights were expanded to include guidelines for police interrogationprocedures in the famous case of,Miranda v. Arizona,How did the case Miranda v Arizona change the interpretation of the Fifth Amendment it allows people to waive their right to Fifth Amendment protection it extended the protection to legal actions outside the courtroom it ensured that suspects always have an attorney if they want one?,What are some court cases involving the 5th Amendment?,How did the Miranda rights change law enforcement in the United States?,,1,0,1
356,the chief antidote for test anxiety is,overpreparation,the chief antidote for test anxiety is,overpreparation,What is the chief antidote for test anxiety?,,,RULE BASED,1,1,0
357,"Based on data from 1998, what percent of all income in the United States did the top fifth of all families receive?",47 percent,"Based on data from 1998, what percent of all income in the United States did the top fifth of all families receive?",47 percent,"Based on data from 1998, what percent of all income in the United States did the top fifth of all families receive?",,,,1,,
358,Hewlett-Packard's Customer Sales Group caused frustration among customers and salespeople. What was the primary problem with the sales force structure of CSG?,Salespeople were responsible for selling all H-P products instead of specializing in a few products,Hewlett-Packard's Customer Sales Group caused frustration among customers and salespeople. What was the primary problem with the sales force structure of CSG?,Salespeople were responsible for selling all H-P products instead of specializing in a few products,Hewlett-Packard's Customer Sales Group caused frustration among customers and salespeople. What was the primary problem with the sales force structure of CSG?,,,,1,,
359,"in Latin America, the Maya and the Aztec civilizations were similar in that they",developed complex mathematical and calendar systems,"in Latin America, the Maya and the Aztec civilizations were similar in that they",developed complex mathematical and calendar systems,In what ways were the Maya and the Aztec civilizations of Latin America similar?,What did the Maya and the Aztec civilizations have in common?,What did the Inca Aztec and Maya have in common quizlet?,,1,1,1
360,an orange grower in Florida who loses most of his orange trees to a hard freeze should expect the marginal productivity of his capital to,decrease,an orange grower in Florida who loses most of his orange trees to a hard freeze should expect the marginal productivity of his capital to,decrease,,,,RULE BASED,0,0,0
361,Most of the delegates at the Constitutional Convention regarded what as the greatest threat togovernment?,factions,Most of the delegates at the Constitutional Convention regarded what as the greatest threat togovernment?,factions,Most of the delegates at the Constitutional Convention regarded what as the greatest threat togovernment?,,,,1,,
362,one major influence the Renaissance had on the Protestant Reformation was that the philosophers of the Renaissance,encouraged a questioning attitude,one major influence the Renaissance had on the Protestant Reformation was that the philosophers of the Renaissance,encouraged a questioning attitude,What was a major influence the Renaissance had on the Protestant Reformation?,What major impact did the Protestant Reformation have on the Catholic Church quizlet?,Who influenced the Protestant Reformation?,,1,0,1
363,Which theory claims that emotions are organized in the brain and that emotional feelings and bodily expressions occur simultaneously?,the Cannon-Bard theory,Which theory claims that emotions are organized in the brain and that emotional feelings and bodily expressions occur simultaneously?,the Cannon-Bard theory,Which theory claims that emotions are organized in the brain and that emotional feelings and bodily expressions occur simultaneously?,,,,1,,
364,richard Nixon believed he lost the 1960 presidential election because,he was sweating and had an ugly beard stubble during a debate with Kennedy,richard Nixon believed he lost the 1960 presidential election because,he was sweating and had an ugly beard stubble during a debate with Kennedy,Why richard Nixon believed he lost the 1960 presidential election?,,,RULE BASED,1,0,0
365,a written opinion in a Supreme Court case is a,statement of the legal reasoning behind a decision,a written opinion in a Supreme Court case is a,statement of the legal reasoning behind a decision,What is a written opinion in a Supreme Court case?,,,RULE BASED,1,0,0
366,In which type of buying situation would a supplier most likely focus on maintaining product and service quality?,straight rebuy,In which type of buying situation would a supplier most likely focus on maintaining product and service quality?,straight rebuy,In which type of buying situation would a supplier most likely focus on maintaining product and service quality?,,,,1,,
367,"barbara is applying conditioning principles to teach language skills to retarded children. As a psychologist, her point of view appears to be",behaviorist,"barbara is applying conditioning principles to teach language skills to retarded children. As a psychologist, her point of view appears to be",behaviorist,"barbara is applying conditioning principles to teach language skills to retarded children . As a psychologist , what would  her point of view appears to?",,,RULE BASED,1,0,0
368,the marginal product of any factor of production depends on,the quantity of the factor used,the marginal product of any factor of production depends on,the quantity of the factor used,,,,RULE BASED,0,0,0
369,The rivers of Japan?,are important for hydro-electricity,The rivers of Japan?,are important for hydro-electricity,The rivers of Japan?,,,,0,,
370,Which generalization about democracy is most valid?,democratic governments protect basic civil liberties,Which generalization about democracy is most valid?,democratic governments protect basic civil liberties,Which generalization about democracy is most valid?,,,,1,,
371,"Throughout most of its independent existence, Pakistan has been governed by?",a military dictatorship,"Throughout most of its independent existence, Pakistan has been governed by?",a military dictatorship,"Throughout most of its independent existence, Pakistan has been governed by?",,,,1,,
372,"according to the rule of 70, if some variable grows at a rate of g percent per year, then that variable doubles in approximately",70/g years,"according to the rule of 70, if some variable grows at a rate of g percent per year, then that variable doubles in approximately",70/g years,How do you find the growth rate using the Rule of 70?,How does the Rule of 70 relate to GDP growth?,Does the rule of 70 apply to a negative population growth rate explain your answer using Russia's population growth rate of?,,0,0,0
373,the supply of loanable funds slopes,upward because an increase in the interest rate induces people to save more,the supply of loanable funds slopes,upward because an increase in the interest rate induces people to save more,Why does the supply of loanable funds slopes upward?,Why is the supply of loanable funds curve upward sloping?,How does the supply of loanable funds slope?,,1,1,1
374,the incoming flow of information from our sensory systems is referred to as,sensation,the incoming flow of information from our sensory systems is referred to as,sensation,What does the incoming flow of information from our sensory systems is referred to as?,,,RULE BASED,1,0,0
375,"sim n Bol var, Jos  de San Mart n, and Toussaint l Ouverture are important in Latin American history because they were",leaders of liberation movements,"sim n Bol var, Jos  de San Mart n, and Toussaint l Ouverture are important in Latin American history because they were",leaders of liberation movements,"sim n Bol var , Jos de San Mart n, what were and Toussaint l Ouverture are important in Latin American history because they?",,,RULE BASED,1,0,0
376,some believe the War Powers Resolution could be successfully overturned by the SupremeCourt because it,"uses a legislative veto, which may violate the separation of powers",some believe the War Powers Resolution could be successfully overturned by the SupremeCourt because it,"uses a legislative veto, which may violate the separation of powers",Is the War Powers Resolution Constitutional?,How does the Supreme Court view the War Powers Resolution?,What was the purpose of the War Powers Resolution?,,0,1,0
377,"if an industry becomes unionized,","wages in that industry tend to rise, while employment in that industry tends to fall","if an industry becomes unionized,","wages in that industry tend to rise, while employment in that industry tends to fall",What happens when an industry becomes unionized?,Can you unionize an industry?,Do unionized workers earn higher wages?,,1,0,1
378,criticism of recovered memories has centered on the fact that,a patient guided by an incompetent therapist might confuse dreams with memories,criticism of recovered memories has centered on the fact that,a patient guided by an incompetent therapist might confuse dreams with memories,What is a concern about recovered memories?,What might a patient confuse dreams with memories?,When new memories impair the retrieval of older memories?,,1,0,0
379,Why was the Balkan region referred to as the  Powder Keg of Europe  prior to World War I?,Nationalistic and imperialistic rivalries were increasing,Why was the Balkan region referred to as the  Powder Keg of Europe  prior to World War I?,Nationalistic and imperialistic rivalries were increasing,Why was the Balkan region referred to as the  Powder Keg of Europe  prior to World War I?,,,,1,,
380,internalizing a positive production externality through a government subsidy will cause industry supply to,increase by an amount equal to the subsidy,internalizing a positive production externality through a government subsidy will cause industry supply to,increase by an amount equal to the subsidy,,,,RULE BASED,0,0,0
381,price discrimination is the practice of,selling the same good at different prices to different customers,price discrimination is the practice of,selling the same good at different prices to different customers,What is price discrimination?,What is price discrimination based on?,Which of the following best defines price discrimination?,,1,1,0
382,"you offer to trade your nickel for a dime held by a child. The child accepts the trade because the nickel is ""bigger."" The child is",in the preoperational stage,"you offer to trade your nickel for a dime held by a child. The child accepts the trade because the nickel is ""bigger."" The child is",in the preoperational stage,"you offer to trade your nickel for a dime held by a child . The child accepts the trade because the nickel is `` bigger, what is '' The child?",,,RULE BASED,1,0,0
383,the watchdog orientation of the press can be characterized as,reformist,the watchdog orientation of the press can be characterized as,reformist,What does the watchdog orientation of the press can be characterized as?,,,RULE BASED,1,0,0
384,stimulus motives differ from primary motives in that they,"appear to be innate, but are not necessary for survival",stimulus motives differ from primary motives in that they,"appear to be innate, but are not necessary for survival",Do stimulus motives appear to be innate or are not necessary for survival?,Are stimulus motives innate?,What are stimulus motives?,,1,1,1
385,most cases heard by the Supreme Court come from,civil actions from lower federal courts,most cases heard by the Supreme Court come from,civil actions from lower federal courts,From where most cases heard by the Supreme Court come?,,,RULE BASED,0,0,0
386,"When countries import a product, domestic producers",lose but domestic consumers benefit,"When countries import a product, domestic producers",lose but domestic consumers benefit,"When countries import a product, domestic producers",,,,0,,
387,the first party system (1796-1824) was characterized by,the dominance of the Democratic-Republican party,the first party system (1796-1824) was characterized by,the dominance of the Democratic-Republican party,Who characterized the first party system ( 1796-1824 )?,,,RULE BASED,0,1,0
388,"in a classic experiment, ""Little Albert,"" a very young boy, was conditioned to be afraid of a rat. He also became fearful of white furry rabbits and bearded men. This is an example of",stimulus generalization,"in a classic experiment, ""Little Albert,"" a very young boy, was conditioned to be afraid of a rat. He also became fearful of white furry rabbits and bearded men. This is an example of",stimulus generalization,What happened after Little Albert was classically conditioned to fear a white rat?,What happened after Little Albert was classically conditioned to fear the white rat?,What was the conditioned stimulus in the case of Little Albert?,,1,1,1
389,the experience of the Volcker disinflation of the early 1980s,generally decreased estimates of the sacrifice ratio,the experience of the Volcker disinflation of the early 1980s,generally decreased estimates of the sacrifice ratio,What did the Volcker disinflation result in?,What is the sacrifice ratio for this disinflation?,What was the Volcker disinflation?,,1,1,1
390,"according to Karl Marx, history is the record of the",struggle between classes in society,"according to Karl Marx, history is the record of the",struggle between classes in society,"according to Karl MarxWhat is , history the record?",,,RULE BASED,0,0,0
391,one reason for the development of an early civilization in the Tigris-Euphrates river valleys was that,"periodic flooding left rich soil, which was ideal for farming",one reason for the development of an early civilization in the Tigris-Euphrates river valleys was that,"periodic flooding left rich soil, which was ideal for farming",What was the reason for the development of an early civilization in the Tigris Euphrates river valleys?,What was one reason for early civilization in the Tigris-Euphrates?,Why did ancient civilizations develop in valleys of rivers such as the Nile Indus Tigris and Euphrates?,,1,1,0
392,the survey method involves,careful questioning of a representative sample of people,the survey method involves,careful questioning of a representative sample of people,What is the survey research method?,What does the survey method involve?,What type of research method is a survey?,,1,1,1
393,"judaism, Islam, and Christianity share a belief in",monotheism and ethical conduct,"judaism, Islam, and Christianity share a belief in",monotheism and ethical conduct,"judaism , Islam Where does , and Christianity share a belief?",,,RULE BASED,1,0,0
394,broca's area is located on the,left frontal lobe,broca's area is located on the,left frontal lobe,What is broca 's area located?,,,RULE BASED,0,0,0
395,the largest expenditure in a campaign budget for the presidency or a statewide office todaywould almost certainly be,television advertising,the largest expenditure in a campaign budget for the presidency or a statewide office todaywould almost certainly be,television advertising,What would  the largest expenditure in a campaign budget for the presidency or a statewide office todaywould almost certainly?,,,RULE BASED,1,0,0
396,the main goal of the Green Revolution was to,solve chronic food shortages through the use of technology,the main goal of the Green Revolution was to,solve chronic food shortages through the use of technology,,,,RULE BASED,0,0,0
397,the use of government authority to control or change some practice in the private sector isknown as,regulation,the use of government authority to control or change some practice in the private sector isknown as,regulation,What does the use of government authority to control or change some practice in the private sector isknown as?,,,RULE BASED,1,0,0
398,the increase in the amount of output from an additional unit of labor is called,the marginal product of labor,the increase in the amount of output from an additional unit of labor is called,the marginal product of labor,What is the increase in the amount of output from an additional unit of labor called?,,,RULE BASED,1,0,0
399,the nature of groups and the government in hyperpluralist theory is,strong groups and weak government,the nature of groups and the government in hyperpluralist theory is,strong groups and weak government,What is the nature of groups and the government in hyperpluralist theory?,,,RULE BASED,1,0,0
400,"In an attempt to modernize Japan during the late 1800s, the leaders of the Meiji government decided to?",study Western institutions and technology,"In an attempt to modernize Japan during the late 1800s, the leaders of the Meiji government decided to?",study Western institutions and technology,"In an attempt to modernize Japan during the late 1800s, the leaders of the Meiji government decided to?",,,,1,,
401,"When a country allows trade and becomes an importer of a good,",the gains of the winners exceed the losses of the losers,"When a country allows trade and becomes an importer of a good,",the gains of the winners exceed the losses of the losers,"When a country allows trade and becomes an importer of a good,",,,,0,,
402,In which way have the Andes Mountains and the Amazon rain forest affected the development of Latin America?,increasing cultural diversity,In which way have the Andes Mountains and the Amazon rain forest affected the development of Latin America?,increasing cultural diversity,In which way have the Andes Mountains and the Amazon rain forest affected the development of Latin America?,,,,1,,
403,"Which promotional tool is most effective in building up buyers' preferences, convictions, and, most importantly, actions?",personal selling,"Which promotional tool is most effective in building up buyers' preferences, convictions, and, most importantly, actions?",personal selling,"Which promotional tool is most effective in building up buyers' preferences, convictions, and, most importantly, actions?",,,,1,,
404,homophobia refers to,fear and hatred toward gay men and lesbian women,homophobia refers to,fear and hatred toward gay men and lesbian women,,,,RULE BASED,0,0,0
405,giving up a dollar bill to purchase an ice cream cone best illustrates money’s function as a,medium of exchange,giving up a dollar bill to purchase an ice cream cone best illustrates money’s function as a,medium of exchange,What does giving up a dollar bill to purchase an ice cream cone best illustrates money ’ s function as?,,,RULE BASED,1,0,0
406,the analysis of information starting with features and building into a complete perception is known as,bottom-up processing,the analysis of information starting with features and building into a complete perception is known as,bottom-up processing,What is the analysis of information starting with features and building into a complete perception called?,,,RULE BASED,1,0,0
407,one of the reasons why the participation gap between minority groups and the nationalaverage is no longer enormous is because,minorities have a group consciousness that gives them an extra incentive to vote,one of the reasons why the participation gap between minority groups and the nationalaverage is no longer enormous is because,minorities have a group consciousness that gives them an extra incentive to vote,Why one of the reasons why the participation gap between minority groups and the nationalaverage is no longer enormous is?,,,RULE BASED,1,0,0
408,dysthymic disorder and cyclothymic disorder are two varieties of,mood disorder,dysthymic disorder and cyclothymic disorder are two varieties of,mood disorder,What is a Cyclothymic mood disorder?,What is a dysthymic disorder?,What is cyclothymic disorder?,,1,1,1
409,public opinion is defined in the text as,the distribution of the population's beliefs about politics and policy,public opinion is defined in the text as,the distribution of the population's beliefs about politics and policy,What does public opinion is defined in the text as?,,,RULE BASED,1,0,0
410,absolute advantage is found by,comparing the productivity of one nation to that of another,absolute advantage is found by,comparing the productivity of one nation to that of another,?,,,RULE BASED,0,0,0
411,in the 1800 election presidential candidates were nominated by,their parties ¹ elected representatives in Congress,in the 1800 election presidential candidates were nominated by,their parties ¹ elected representatives in Congress,Who nominated in the 1800 election presidential candidates?,,,RULE BASED,1,0,0
412,Consider the following two sentences. The producer price index measures the cost of a basket of goods and services purchased by firms. Changes in the producer price index are thought to be useful in predicting consumer prices,Both sentences are true,Consider the following two sentences. The producer price index measures the cost of a basket of goods and services purchased by firms. Changes in the producer price index are thought to be useful in predicting consumer prices,Both sentences are true,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,,,
413,the Persian Gulf War showed that,women could serve as combat pilots,the Persian Gulf War showed that,women could serve as combat pilots,What did the Persian Gulf War show women could do?,How many women served in the Persian Gulf War?,How many women died in the Persian Gulf War?,,1,1,0
414,"In Ancient Egypt, the early pharaohs\' belief in their own divinity led them to?",be mummified for their afterlife,"In Ancient Egypt, the early pharaohs\' belief in their own divinity led them to?",be mummified for their afterlife,"In Ancient Egypt, the early pharaohs\' belief in their own divinity led them to?",,,,1,,
415,articles of impeachment must be passed by,the House,articles of impeachment must be passed by,the House,How articles of impeachment must be passed?,,,RULE BASED,1,0,0
416,The pattern of political rule in Southwest Asia after 900 BCE was one of?,a series of empires created by various invaders,The pattern of political rule in Southwest Asia after 900 BCE was one of?,a series of empires created by various invaders,The pattern of political rule in Southwest Asia after 900 BCE was one of?,,,,1,,
417,When a budget constraint shifts out,the consumer can now reach a higher indifference curve,When a budget constraint shifts out,the consumer can now reach a higher indifference curve,When a budget constraint shifts out,,,,1,,
418,"for a candidate, the most important and desirable result of the early nomination contests is","doing better than expected, thus winning an image as the party's frontrunner and holder of momentum","for a candidate, the most important and desirable result of the early nomination contests is","doing better than expected, thus winning an image as the party's frontrunner and holder of momentum","for a candidate, what is the most important and desirable result of the early nomination contests?",,,RULE BASED,1,0,0
419,the imperialist policies followed by Japan after World War I were based on a desire to,obtain natural resources for manufacturing,the imperialist policies followed by Japan after World War I were based on a desire to,obtain natural resources for manufacturing,,,,RULE BASED,0,0,0
420,"in most traditional societies, the teaching of values is mainly the responsibility of the",family,"in most traditional societies, the teaching of values is mainly the responsibility of the",family,"in most traditional societiesWhat is , the teaching of values mainly the responsibility?",,,RULE BASED,1,0,0
421,the fastest growing source of federal revenue has been,Social Security taxes,the fastest growing source of federal revenue has been,Social Security taxes,What is the fastest growing source of federal revenue?,What is the fastest growing source of federal revenue?,What is the largest source of federal tax revenue?,,1,1,1
422,"if the price of oil decreases, the CPI",decreases more than the GDP deflator decreases,"if the price of oil decreases, the CPI",decreases more than the GDP deflator decreases,What happens to the CPI if the price of oil decreases?,What causes CPI to decrease?,How do oil prices affect CPI?,,1,1,1
423,"in the 1930 s, the Japanese government followed a policy of imperialism primarily to",acquire new sources of raw materials,"in the 1930 s, the Japanese government followed a policy of imperialism primarily to",acquire new sources of raw materials,,,,RULE BASED,0,0,0
424,both Japan and China decided to limit trade with Europe during much of the 16th and 17th centuries because the Japanese and the Chinese,believed they would receive no benefit from increased contact with the Europeans,both Japan and China decided to limit trade with Europe during much of the 16th and 17th centuries because the Japanese and the Chinese,believed they would receive no benefit from increased contact with the Europeans,Why did Japan and China decided to limit trade with Europe during much of the 16th and 17th centuries?,Why did both Japan and China decide to limit trade with Europe during much of the 16th and 17th centuries?,Why did Japan and China limit trade with Europe?,,1,1,1
425,the Supreme Court ruled in its Roe v. Wade decision that,abortion could not be prohibited by any state during the first trimester of pregnancy,the Supreme Court ruled in its Roe v. Wade decision that,abortion could not be prohibited by any state during the first trimester of pregnancy,What is true about the Supreme Court decision in Roe v Wade 1973 )?,What was the Supreme Court ruling in Roe v Wade quizlet?,What was the ruling in Roe v. Wade?,,1,1,1
426,providing select information and a request for money to lists of people who have supportedcandidates of similar views in the past is a frequently used political technique known as,direct mail,providing select information and a request for money to lists of people who have supportedcandidates of similar views in the past is a frequently used political technique known as,direct mail,What does providing select information and a request for money to lists of people who have supportedcandidates of similar views in the past is a frequently used political technique known as?,,,RULE BASED,1,0,0
427,"if the price of a substitute to good X increases, then the",demand for good X will increase,"if the price of a substitute to good X increases, then the",demand for good X will increase,"if the price of a substitute to good X increases What does ,?",,,RULE BASED,0,1,0
428,"in order to actually fund programs established by authorization bills, Congress must pass",an appropriations bill,"in order to actually fund programs established by authorization bills, Congress must pass",an appropriations bill,What must Congress pass in order to fund programs established by authorization bills?,What kind of bill is passed by Congress to fund an agency or program with a specific dollar amount?,How are appropriation bills passed?,,1,0,1
429,Which revolution inspired Karl Marx and Friedrich Engels to express their ideas in The Communist Manifesto?,Industrial,Which revolution inspired Karl Marx and Friedrich Engels to express their ideas in The Communist Manifesto?,Industrial,Which revolution inspired Karl Marx and Friedrich Engels to express their ideas in The Communist Manifesto?,,,,1,,
430,What is the purpose of measuring the overall level of prices in the economy?,to allow comparison between dollar figures from different points in time,What is the purpose of measuring the overall level of prices in the economy?,to allow comparison between dollar figures from different points in time,What is the purpose of measuring the overall level of prices in the economy?,,,,1,,
431,"In traditional Chinese culture, which philosophy had the greatest influence on the development of social order and political organization?",Confucianism,"In traditional Chinese culture, which philosophy had the greatest influence on the development of social order and political organization?",Confucianism,"In traditional Chinese culture, which philosophy had the greatest influence on the development of social order and political organization?",,,,1,,
432,the Democratic and Republican candidates for president are formally nominated by the,national party conventions,the Democratic and Republican candidates for president are formally nominated by the,national party conventions,What are the Democratic and Republican candidates for president formally nominated?,,,RULE BASED,1,0,0
433,"Consider the following two sentences. Both perfectly competitive and monopolistically competitive firms produce at the efficient scale. Perfectly competitive firms produce where price equals marginal cost, while monopolistically competitive firms produce where price is greater than marginal cost",Only the second sentence is correct,"Consider the following two sentences. Both perfectly competitive and monopolistically competitive firms produce at the efficient scale. Perfectly competitive firms produce where price equals marginal cost, while monopolistically competitive firms produce where price is greater than marginal cost",Only the second sentence is correct,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,,,
434,Which type of government has resulted from the changing political trends in much of Latin America during the 1990 s?,democracy,Which type of government has resulted from the changing political trends in much of Latin America during the 1990 s?,democracy,Which type of government has resulted from the changing political trends in much of Latin America during the 1990 s?,,,,1,,
435,Which situation is most characteristic of a traditional society?,a boy learns his father\'s craft or occupation,Which situation is most characteristic of a traditional society?,a boy learns his father\'s craft or occupation,Which situation is most characteristic of a traditional society?,,,,1,,
436,the first president to manipulate media politics with many press conferences and firesidechats successfully was,Franklin Roosevelt,the first president to manipulate media politics with many press conferences and firesidechats successfully was,Franklin Roosevelt,What was the first president to manipulate media politics with many press conferences and firesidechats successfully?,,,RULE BASED,1,0,0
437,if you buy a carton of chocolate chip cookie dough ice cream in your favorite grocery store,both GDP and consumption spending will be higher,if you buy a carton of chocolate chip cookie dough ice cream in your favorite grocery store,both GDP and consumption spending will be higher,Will GDP and consumption spending be higher if you buy a carton of chocolate chip cookie dough ice cream?,What happens if you bake cookie dough ice cream?,Is chocolate chip cookie dough ice cream safe to eat?,,1,0,0
438,in   going public   interest groups,use advertising and public relations to enhance their image,in   going public   interest groups,use advertising and public relations to enhance their image,How is going public used by interest groups?,What do public interest groups do to enhance their image?,How do interest groups stimulate interest in public affairs?,,1,1,1
439,The Assyrians earned a reputation in the ancient world for?,their extreme cruelty,The Assyrians earned a reputation in the ancient world for?,their extreme cruelty,The Assyrians earned a reputation in the ancient world for?,,,,1,,
440,kinesics refers to the study of,body language,kinesics refers to the study of,body language,What is kinesics body language?,What does the study of kinesics refers to?,What is the study of kinesics?,,0,1,1
441,"Buddha taught that by rejecting desire people could attain  nirvana , or?",a state of perfect peace,"Buddha taught that by rejecting desire people could attain  nirvana , or?",a state of perfect peace,"Buddha taught that by rejecting desire people could attain  nirvana , or?",,,,1,,
442,aDHD in children is most often treated with the drug,Ritalin,aDHD in children is most often treated with the drug,Ritalin,What drug is used to treat aDHD in children?,Is Ritalin safe for kids with ADHD?,Is Ritalin The best treatment for ADHD?,,1,0,1
443,"the early civilizations of the Nile River Valley, Mesopotamia, and the Yellow River Valley were similar because they were",dependent on fertile land,"the early civilizations of the Nile River Valley, Mesopotamia, and the Yellow River Valley were similar because they were",dependent on fertile land,"the early civilizations of the Nile River Valley , Mesopotamia, what were and the Yellow River Valley were similar because they?",,,RULE BASED,1,0,0
444,the Civil Rights Act of 1964,both A and B,the Civil Rights Act of 1964,both A and B,Which two sections of the Civil Rights Act of 1964 are there?,What did the Civil Rights Act of 1964 do quizlet?,What two things did the Civil Rights Act of 1964 do?,,1,1,1
445,"if we want to know the amount of expenditures for an average individual in a country, we should look at",GDP per person,"if we want to know the amount of expenditures for an average individual in a country, we should look at",GDP per person,"if we want to know the amount of expenditures for an average individual in a country, where we should look?",,,RULE BASED,1,0,0
446,a major result of the Industrial Revolution was the,concentration of workers in urban areas,a major result of the Industrial Revolution was the,concentration of workers in urban areas,What was a major result of the Industrial Revolution ?,,,RULE BASED,1,0,0
447,How does database marketing benefit consumers?,Companies match customer needs and interests with products and services,How does database marketing benefit consumers?,Companies match customer needs and interests with products and services,How does database marketing benefit consumers?,,,,1,,
448,a fall in prices makes consumers feel more wealthy. As a result,there is a movement down a given aggregate demand curve,a fall in prices makes consumers feel more wealthy. As a result,there is a movement down a given aggregate demand curve,How an increase in wealth affects the level of consumption?,What is the effect on the aggregate demand curve of an increase in the price level?,How do changes in wealth influence consumer spending?,,0,0,0
449,Which statement about reforms in China during the 1980 s and 1990 s is most accurate?,Economic reforms were more successful than political reforms,Which statement about reforms in China during the 1980 s and 1990 s is most accurate?,Economic reforms were more successful than political reforms,Which statement about reforms in China during the 1980 s and 1990 s is most accurate?,,,,1,,
450,"Which type of sales approach is best for today's customers who expect answers, results, and useful products?",customer-solution,"Which type of sales approach is best for today's customers who expect answers, results, and useful products?",customer-solution,"Which type of sales approach is best for today's customers who expect answers, results, and useful products?",,,,1,,
451,"the contributions of the ancient civilizations of Ghana, Axum, Kush, and Mali demonstrate that",advanced societies developed in Africa before Europeans colonized this region,"the contributions of the ancient civilizations of Ghana, Axum, Kush, and Mali demonstrate that",advanced societies developed in Africa before Europeans colonized this region,What do the contributions of the ancient civilizations of Ghana Axum Kush and Mali demonstrate?,Which factor contributed most to the development of the ancient African kingdoms of Ghana and Mali?,Were there any advanced African civilizations?,,1,1,0
452,"jim is in a constant state of anxiety and also has brief, sudden periods of panic. He also believes these periods of panic will occur when he's in a public location; therefore, Jim is afraid to leave his house. Jim's diagnosis is",panic disorder with agoraphobia,"jim is in a constant state of anxiety and also has brief, sudden periods of panic. He also believes these periods of panic will occur when he's in a public location; therefore, Jim is afraid to leave his house. Jim's diagnosis is",panic disorder with agoraphobia,"jim is in a constant state of anxiety and also has brief , sudden periods of panic . He also believes these periods of panic will occur when he 's in a public location ; therefore , Jim is afraid to leave his house, what is Jim 's diagnosis?",,,RULE BASED,1,0,0
453,the biggest obstacle to the effectiveness of large groups is the,problem of raising funds and attracting government support,the biggest obstacle to the effectiveness of large groups is the,problem of raising funds and attracting government support,What is the biggest obstacle to the effectiveness of large groups ?,,,RULE BASED,1,0,0
454,"in Europe, the Crusades resulted in",an increased demand for goods from the Middle East and Asia,"in Europe, the Crusades resulted in",an increased demand for goods from the Middle East and Asia,"in Europe Where did , the Crusades result?",,,RULE BASED,0,0,0
455,"in terms of religion, most members of Congress are",Protestant,"in terms of religion, most members of Congress are",Protestant,"in terms of religion, what are most members of Congress?",,,RULE BASED,0,1,0
456,the real work of a Cabinet department is done,in the bureaus,the real work of a Cabinet department is done,in the bureaus,Where is the real work of a Cabinet department done?,How are the Cabinet departments organized?,Which of the following are cabinet departments of the bureaucracy?,,1,0,0
457,"if the number of buyers in the market decreases, the",demand in the market will decrease,"if the number of buyers in the market decreases, the",demand in the market will decrease,if the number of buyers in the market decrease What does ?,,,RULE BASED,1,0,0
458,"for a country, the domestic price of a product will equal the world price",when the country allows free trade,"for a country, the domestic price of a product will equal the world price",when the country allows free trade,When a government imposes a tariff on a product the domestic price will equal the world price True False?,Is domestic price the same as world price?,When a country allows free trade the domestic price?,,1,0,0
459,Which condition is most necessary to the process of industrialization in a society?,availability of investment capital,Which condition is most necessary to the process of industrialization in a society?,availability of investment capital,Which condition is most necessary to the process of industrialization in a society?,,,,1,,
460,the final step (within the ear) required to convert vibrations into sound sensations is movement of the,hair cells,the final step (within the ear) required to convert vibrations into sound sensations is movement of the,hair cells,What is the final step ( within the ear ) required to convert vibrations into sound sensations movement?,,,RULE BASED,1,0,0
461,an immediate result of the fall of the Roman Empire was,a period of disorder and weak central government,an immediate result of the fall of the Roman Empire was,a period of disorder and weak central government,What was an immediate result of the fall of the Roman Empire?,,,RULE BASED,1,0,0
462,Which conclusion is best supported by this cartoon?,Imprisonment of political dissidents rarely ends opposition to the government,Which conclusion is best supported by this cartoon?,Imprisonment of political dissidents rarely ends opposition to the government,Which conclusion is best supported by this cartoon?,,,,1,,
463,What is meant by the non-excludability characteristic of public goods?,The nature of a good allows individuals who do not pay for the good to consume it,What is meant by the non-excludability characteristic of public goods?,The nature of a good allows individuals who do not pay for the good to consume it,What is meant by the non-excludability characteristic of public goods?,,,,1,,
464,an election whereby voters are given the chance to approve or disapprove some legislative actor constitutional amendment is called,a referendum,an election whereby voters are given the chance to approve or disapprove some legislative actor constitutional amendment is called,a referendum,What is an election whereby voters are given the chance to approve or disapprove some legislative actor constitutional amendment called?,,,RULE BASED,1,0,0
465,One important difference between Hinduism and Buddhism is that?,Buddhists believe a person can gain enlightenment in a single lifetime,One important difference between Hinduism and Buddhism is that?,Buddhists believe a person can gain enlightenment in a single lifetime,One important difference between Hinduism and Buddhism is that?,,,,1,,
